Truck ID: Truck_1
Total Weight: 799.6000000000005
Total Profit: 1287.0
Total Penalty: -86.0
Packages: 261
Package ID     Weight         Profit         Deadline       
------------------------------------------------------------
2241344591.0   0.10           4.00           5.0            
2241336036.0   3.40           7.00           0.0            
2241339035.0   0.90           9.00           8.0            
2241338804.0   1.90           9.00           3.0            
2241354964.0   0.60           7.00           8.0            
2241336400.0   0.30           4.00           4.0            
2241347649.0   0.10           5.00           9.0            
2241346139.0   0.90           5.00           -3.0           
2241342714.0   2.00           3.00           6.0            
2241338114.0   5.40           3.00           0.0            
2241329911.0   2.30           3.00           2.0            
2241336300.0   1.60           4.00           3.0            
2241325785.0   0.40           8.00           1.0            
2241352603.0   0.90           1.00           5.0            
2241328154.0   5.40           8.00           -2.0           
2241355826.0   9.10           8.00           3.0            
2241357973.0   0.40           2.00           7.0            
2241338792.0   3.40           6.00           5.0            
2241356778.0   4.60           8.00           6.0            
2241323374.0   2.40           5.00           0.0            
2241331171.0   7.70           7.00           7.0            
2241337510.0   2.10           3.00           6.0            
2241339524.0   0.60           3.00           5.0            
2241348320.0   1.00           6.00           5.0            
2241354219.0   0.60           5.00           4.0            
2241333387.0   2.90           3.00           1.0            
2241331295.0   0.30           7.00           3.0            
2241357442.0   0.80           5.00           6.0            
2241333836.0   7.40           9.00           3.0            
2241352731.0   0.60           3.00           7.0            
2241340640.0   2.70           3.00           9.0            
2241341804.0   0.20           8.00           5.0            
2241326639.0   4.60           7.00           6.0            
2241352918.0   0.40           2.00           -1.0           
2241337580.0   1.10           6.00           2.0            
2241335740.0   1.30           6.00           2.0            
2241343833.0   9.80           9.00           8.0            
2241326178.0   2.70           4.00           8.0            
2241331017.0   3.40           8.00           9.0            
2241354086.0   2.30           5.00           5.0            
2241330722.0   5.10           4.00           4.0            
2241327449.0   0.30           6.00           1.0            
2241352742.0   6.70           1.00           8.0            
2241337012.0   4.10           9.00           1.0            
2241336778.0   0.30           3.00           7.0            
2241327184.0   2.40           5.00           0.0            
2241341829.0   4.00           8.00           5.0            
2241344457.0   3.20           8.00           -2.0           
2241343258.0   8.20           6.00           3.0            
2241351924.0   10.10          8.00           6.0            
2241338696.0   1.10           2.00           3.0            
2241344519.0   8.60           2.00           2.0            
2241357936.0   2.50           4.00           9.0            
