
==================== Start of Run 69 ====================
Generation: 0, Best Fitness: 17747.10, Mean Fitness: 16582.83
Generation: 1, Best Fitness: 17805.10, Mean Fitness: 16720.70
Generation: 2, Best Fitness: 18018.10, Mean Fitness: 16680.63
Generation: 3, Best Fitness: 18325.10, Mean Fitness: 16608.26
Generation: 4, Best Fitness: 18595.10, Mean Fitness: 16644.13
Generation: 5, Best Fitness: 18497.10, Mean Fitness: 16912.52
Generation: 6, Best Fitness: 18611.10, Mean Fitness: 16764.41
Generation: 7, Best Fitness: 18875.10, Mean Fitness: 16727.68
Generation: 8, Best Fitness: 18867.10, Mean Fitness: 16796.71
Generation: 9, Best Fitness: 18885.10, Mean Fitness: 16863.29
Generation: 10, Best Fitness: 19110.10, Mean Fitness: 16924.11
Generation: 11, Best Fitness: 19126.10, Mean Fitness: 16882.94
Generation: 12, Best Fitness: 19253.10, Mean Fitness: 16842.01
Generation: 13, Best Fitness: 19241.10, Mean Fitness: 16851.20
Generation: 14, Best Fitness: 19410.10, Mean Fitness: 16706.82
Generation: 15, Best Fitness: 19423.10, Mean Fitness: 16947.03
Generation: 16, Best Fitness: 19443.10, Mean Fitness: 16899.14
Generation: 17, Best Fitness: 19461.10, Mean Fitness: 16814.17
Generation: 18, Best Fitness: 19650.10, Mean Fitness: 16795.15
Generation: 19, Best Fitness: 19663.10, Mean Fitness: 16887.50
Generation: 20, Best Fitness: 19678.10, Mean Fitness: 16921.36
Generation: 21, Best Fitness: 19842.10, Mean Fitness: 16904.83
Generation: 22, Best Fitness: 19975.10, Mean Fitness: 16906.00
Generation: 23, Best Fitness: 19975.10, Mean Fitness: 16848.42
Generation: 24, Best Fitness: 20068.10, Mean Fitness: 16810.33
Generation: 25, Best Fitness: 20096.10, Mean Fitness: 16776.84
Generation: 26, Best Fitness: 20147.10, Mean Fitness: 16913.33
Generation: 27, Best Fitness: 20130.10, Mean Fitness: 16854.71
Generation: 28, Best Fitness: 20160.10, Mean Fitness: 16771.19
Generation: 29, Best Fitness: 20173.10, Mean Fitness: 16829.50
Generation: 30, Best Fitness: 20265.10, Mean Fitness: 16860.45
