Truck ID: Truck_1
Total Weight: 799.5000000000001
Total Profit: 1188.0
Total Penalty: -49.0
Packages: 248
Package ID     Weight         Profit         Deadline       
------------------------------------------------------------
2241338342.0   0.80           6.00           6.0            
2241323493.0   1.60           3.00           5.0            
2241346871.0   7.20           9.00           9.0            
2241345247.0   0.10           8.00           5.0            
2241327494.0   10.70          6.00           6.0            
2241340693.0   1.00           5.00           9.0            
2241351323.0   2.00           2.00           1.0            
2241346767.0   2.70           5.00           9.0            
2241340722.0   3.00           9.00           2.0            
2241330642.0   7.90           8.00           -3.0           
2241325144.0   0.70           1.00           1.0            
2241349827.0   0.20           4.00           8.0            
2241338179.0   0.20           6.00           2.0            
2241347085.0   2.90           6.00           9.0            
2241345125.0   1.50           6.00           6.0            
2241336988.0   1.00           2.00           4.0            
2241325154.0   0.20           4.00           5.0            
2241347737.0   4.20           9.00           2.0            
2241354491.0   0.20           4.00           5.0            
2241335120.0   0.20           5.00           2.0            
2241342559.0   0.40           5.00           9.0            
2241355096.0   0.40           8.00           4.0            
2241330545.0   5.70           3.00           3.0            
2241344927.0   1.30           4.00           9.0            
2241336203.0   0.30           3.00           3.0            
2241349469.0   0.70           5.00           8.0            
2241353261.0   1.20           5.00           9.0            
2241333135.0   0.10           6.00           4.0            
2241338504.0   11.60          6.00           9.0            
2241334541.0   1.80           1.00           3.0            
2241344557.0   0.90           9.00           8.0            
2241326326.0   1.00           5.00           3.0            
2241337868.0   0.30           2.00           9.0            
2241353963.0   4.80           6.00           6.0            
2241329822.0   9.30           6.00           4.0            
2241329055.0   1.70           5.00           5.0            
2241354359.0   3.40           3.00           -3.0           
2241346646.0   1.40           4.00           7.0            
2241337727.0   1.30           5.00           5.0            
2241341832.0   1.90           5.00           9.0            
2241339386.0   4.60           1.00           1.0            
2241332118.0   11.60          3.00           2.0            
2241336743.0   0.90           7.00           -1.0           
2241358196.0   2.10           5.00           7.0            
2241345482.0   0.40           6.00           6.0            
2241340098.0   1.10           3.00           2.0            
2241333784.0   10.00          1.00           0.0            
2241325268.0   2.60           3.00           4.0            
2241353448.0   0.80           5.00           7.0            
2241330073.0   9.00           9.00           1.0            
2241350490.0   0.20           2.00           4.0            
2241332956.0   7.00           1.00           9.0            
2241335531.0   0.40           5.00           4.0            
2241340620.0   2.20           4.00           7.0            
2241352139.0   1.40           6.00           3.0            
2241346151.0   5.60           4.00           9.0            
2241329999.0   6.80           3.00           4.0            
2241325849.0   1.30           3.00           4.0            
2241331319.0   8.20           1.00           9.0            
2241357888.0   0.30           6.00           2.0            
2241336861.0   2.10           4.00           7.0            
2241345188.0   11.40          2.00           3.0            
2241350035.0   5.20           6.00           1.0            
2241344591.0   0.10           4.00           5.0            
2241337458.0   1.80           4.00           2.0            
2241326041.0   0.80           6.00           5.0            
2241357552.0   5.90           5.00           -1.0           
2241340699.0   1.80           6.00           9.0            
2241325404.0   6.40           9.00           3.0            
2241332696.0   1.80           3.00           8.0            
2241355271.0   3.40           3.00           0.0            
2241355849.0   3.40           9.00           7.0            
2241354081.0   7.80           8.00           0.0            
2241326744.0   6.60           2.00           3.0            
2241331256.0   1.10           5.00           1.0            
2241340944.0   3.70           3.00           9.0            
2241347067.0   10.10          8.00           5.0            
2241347174.0   4.40           8.00           2.0            
2241339799.0   0.20           4.00           4.0            
2241334412.0   7.00           7.00           4.0            
2241331908.0   0.80           6.00           7.0            
2241342993.0   1.90           5.00           7.0            
2241326258.0   0.10           9.00           -3.0           
2241345733.0   1.40           3.00           3.0            
2241326845.0   0.70           3.00           2.0            
2241343705.0   1.70           9.00           1.0            
2241339623.0   1.10           3.00           1.0            
2241356890.0   3.70           9.00           4.0            
2241328017.0   0.90           6.00           2.0            
2241357072.0   0.40           5.00           6.0            
2241354777.0   8.00           9.00           2.0            
2241338611.0   2.10           4.00           8.0            
2241329701.0   5.00           9.00           8.0            
2241347319.0   0.20           3.00           0.0            
2241353298.0   5.70           9.00           4.0            
2241333150.0   2.90           4.00           9.0            
2241334901.0   0.30           4.00           7.0            
2241326624.0   0.10           2.00           -1.0           
2241325795.0   1.40           1.00           0.0            
2241354976.0   4.90           1.00           4.0            
2241331756.0   10.60          8.00           8.0            
2241337945.0   0.70           6.00           1.0            
2241357973.0   0.40           2.00           7.0            
2241343044.0   0.60           5.00           9.0            
2241345680.0   3.90           7.00           9.0            
2241335500.0   0.40           3.00           5.0            
2241324229.0   1.00           5.00           3.0            
2241328218.0   7.60           3.00           8.0            
2241344973.0   0.20           6.00           2.0            
2241352455.0   0.90           9.00           8.0            
2241345181.0   4.40           1.00           1.0            
2241334976.0   2.00           3.00           2.0            
2241355030.0   1.00           5.00           0.0            
2241347422.0   0.90           5.00           3.0            
2241349940.0   2.80           4.00           8.0            
2241334487.0   0.50           4.00           5.0            
2241357448.0   4.40           4.00           1.0            
2241343389.0   3.10           6.00           5.0            
2241331024.0   0.40           5.00           3.0            
2241324447.0   6.00           8.00           6.0            
2241333952.0   8.90           3.00           7.0            
2241354278.0   6.10           4.00           0.0            
2241345134.0   10.90          7.00           0.0            
2241353899.0   4.00           4.00           6.0            
2241342755.0   0.40           8.00           5.0            
2241339602.0   0.60           4.00           6.0            
2241350996.0   1.30           3.00           4.0            
2241331506.0   10.20          5.00           4.0            
2241328735.0   1.60           4.00           3.0            
2241327576.0   1.30           7.00           3.0            
2241324219.0   1.40           1.00           5.0            
2241336383.0   6.80           8.00           6.0            
